 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.3139729371638763E+004	 +0.0000000000000000E+000	 -0.3985769049455386E+000	 +0.3139729371638763E+004	
      +2	 +0.3693152656052701E+004	 +0.0000000000000000E+000	 +0.9060438004243626E-001	 +0.3693152656052701E+004	
      +3	 +0.3723662636968443E+004	 +0.0000000000000000E+000	 +0.9140440645468707E-001	 +0.3723662636968443E+004	
      +4	 +0.3470599267683323E+004	 +0.0000000000000000E+000	 +0.1823205778056089E+000	 +0.3470599267683323E+004	
      +5	 +0.3485998813129272E+004	 +0.0000000000000000E+000	 +0.1796394703819721E+000	 +0.3485998813129272E+004	
      +6	 +0.3313016960587804E+004	 +0.0000000000000000E+000	 +0.2408419859774152E+000	 +0.3313016960587804E+004	
      +7	 +0.3321603192203888E+004	 +0.0000000000000000E+000	 +0.2401988510061592E+000	 +0.3321603192203888E+004	
      +8	 +0.3324155216557903E+004	 +0.0000000000000000E+000	 +0.2297997323116018E+000	 +0.3324155216557903E+004	
      +9	 +0.3298605592534907E+004	 +0.1176362035059741E+003	 +0.1990140504016973E+000	 +0.3180969389028933E+004	
     +10	 +0.3059838170734840E+004	 +0.2214074156732032E+004	 +0.2254275870599509E+000	 +0.8457640140028084E+003	
     +11	 +0.2862413388216231E+004	 +0.7695531945167145E+004	 +0.2325296781009239E+000	 +0.0000000000000000E+000	
     +12	 +0.2448751075891289E+004	 +0.2044664460017723E+005	 +0.2640338128134900E+000	 +0.0000000000000000E+000	
     +13	 +0.2101460242145608E+004	 +0.3301793543078194E+005	 +0.2502838324307784E+000	 +0.0000000000000000E+000	
     +14	 +0.1704475194620508E+004	 +0.2707544059532894E+005	 +0.2727918852541899E+000	 +0.0000000000000000E+000	
     +15	 +0.1776053614702422E+004	 +0.3580018999542001E+004	 +0.2731293661853905E+000	 +0.0000000000000000E+000	
     +16	 +0.1841889614992276E+004	 +0.8528155185891763E+003	 +0.2869063512696602E+000	 +0.9890740964030998E+003	
     +17	 +0.2033059181412649E+004	 +0.1171660214867939E+003	 +0.2881627473841257E+000	 +0.1915893159925855E+004	
     +18	 +0.2040621883370022E+004	 +0.0000000000000000E+000	 +0.3580892358004065E+000	 +0.2040621883370022E+004	
     +19	 +0.2141481375742464E+004	 +0.0000000000000000E+000	 +0.3879062927802763E+000	 +0.2141481375742464E+004	
     +20	 +0.2048178010364121E+004	 +0.0000000000000000E+000	 +0.4197144616705710E+000	 +0.2048178010364121E+004	
     +21	 +0.2139714877039900E+004	 +0.0000000000000000E+000	 +0.4239102508534747E+000	 +0.2139714877039900E+004	
     +22	 +0.2154783384986034E+004	 +0.0000000000000000E+000	 +0.4383229263271866E+000	 +0.2154783384986034E+004	
     +23	 +0.2205267475601790E+004	 +0.0000000000000000E+000	 +0.4331987478978651E+000	 +0.2205267475601790E+004	
     +24	 +0.2298492693123363E+004	 +0.0000000000000000E+000	 +0.4432645323656772E+000	 +0.2298492693123363E+004	
     +25	 +0.2372802150380295E+004	 +0.0000000000000000E+000	 +0.4381797656199367E+000	 +0.2372802150380295E+004	
     +26	 +0.2465174188578094E+004	 +0.0000000000000000E+000	 +0.4454290953022723E+000	 +0.2465174188578094E+004	
     +27	 +0.2577686421455893E+004	 +0.0000000000000000E+000	 +0.4417824718482991E+000	 +0.2577686421455893E+004	
     +28	 +0.2658138082046300E+004	 +0.0000000000000000E+000	 +0.4441173432552339E+000	 +0.2658138082046300E+004	
     +29	 +0.2718758430047844E+004	 +0.0000000000000000E+000	 +0.4436388090905528E+000	 +0.2718758430047844E+004	
     +30	 +0.2773111546658452E+004	 +0.0000000000000000E+000	 +0.4494638111875272E+000	 +0.2773111546658452E+004	
     +31	 +0.2826383544691034E+004	 +0.0000000000000000E+000	 +0.4496038281087292E+000	 +0.2826383544691034E+004	
     +32	 +0.2992565958701357E+004	 +0.0000000000000000E+000	 +0.3911537554688978E+000	 +0.2992565958701357E+004	
     +33	 +0.3021730623475487E+004	 +0.2158588964345129E+002	 +0.3577479655254376E+000	 +0.3000144733832036E+004	
     +34	 +0.3026440643036688E+004	 +0.1929412650197137E+003	 +0.3372074727209763E+000	 +0.2833499378016975E+004	
     +35	 +0.2961869783265619E+004	 +0.3516150046119334E+004	 +0.3450334089938941E+000	 +0.0000000000000000E+000	
     +36	 +0.2788080456706190E+004	 +0.3980188760447224E+004	 +0.3479533370119037E+000	 +0.0000000000000000E+000	
     +37	 +0.2734258782502736E+004	 +0.5194198096392746E+004	 +0.3526967639815571E+000	 +0.0000000000000000E+000	
     +38	 +0.2610994685610385E+004	 +0.2882713733743970E+004	 +0.3519231632410846E+000	 +0.0000000000000000E+000	
     +39	 +0.2685945987457038E+004	 +0.3147561029263893E+004	 +0.3539005442367237E+000	 +0.0000000000000000E+000	
     +40	 +0.2675301786791216E+004	 +0.1564956820645891E+004	 +0.3545625759365499E+000	 +0.1110344966145325E+004	
     +41	 +0.2731798834173011E+004	 +0.5841360245499061E+003	 +0.3559384798891329E+000	 +0.2147662809623104E+004	
     +42	 +0.2687871510006730E+004	 +0.0000000000000000E+000	 +0.4104289062430315E+000	 +0.2687871510006730E+004	
     +43	 +0.2758343542511205E+004	 +0.0000000000000000E+000	 +0.4403320881774460E+000	 +0.2758343542511205E+004	
     +44	 +0.2699422951876992E+004	 +0.0000000000000000E+000	 +0.4637440481372018E+000	 +0.2699422951876992E+004	
     +45	 +0.2798202687808221E+004	 +0.0000000000000000E+000	 +0.4683872788391107E+000	 +0.2798202687808221E+004	
     +46	 +0.2845442408927106E+004	 +0.0000000000000000E+000	 +0.4823013971574521E+000	 +0.2845442408927106E+004	
     +47	 +0.2905476590527062E+004	 +0.0000000000000000E+000	 +0.4868189885466115E+000	 +0.2905476590527062E+004	
     +48	 +0.3027802545447292E+004	 +0.0000000000000000E+000	 +0.4892210254602795E+000	 +0.3027802545447292E+004	
     +49	 +0.3065478420171005E+004	 +0.0000000000000000E+000	 +0.4896475841391217E+000	 +0.3065478420171005E+004	
     +50	 +0.3078307473453908E+004	 +0.0000000000000000E+000	 +0.4940785253384054E+000	 +0.3078307473453908E+004	
     +51	 +0.3078600124921593E+004	 +0.0000000000000000E+000	 +0.4952758487866145E+000	 +0.3078600124921593E+004	
     +52	 +0.3083058122701724E+004	 +0.0000000000000000E+000	 +0.5037714846631680E+000	 +0.3083058122701724E+004	
     +53	 +0.3076355144738552E+004	 +0.0000000000000000E+000	 +0.5106016654749879E+000	 +0.3076355144738552E+004	
     +54	 +0.3073263904344447E+004	 +0.0000000000000000E+000	 +0.5173172178776230E+000	 +0.3073263904344447E+004	
     +55	 +0.3065749731880465E+004	 +0.0000000000000000E+000	 +0.5190105697496713E+000	 +0.3065749731880465E+004	
     +56	 +0.3187256932085707E+004	 +0.0000000000000000E+000	 +0.4563921386889030E+000	 +0.3187256932085707E+004	
     +57	 +0.3171211457114568E+004	 +0.2161246311419496E+002	 +0.4235950201051740E+000	 +0.3149598994000373E+004	
     +58	 +0.2942849281797606E+004	 +0.7953330514890427E+004	 +0.4468231944158943E+000	 +0.0000000000000000E+000	
     +59	 +0.2556247618396004E+004	 +0.1478387764303361E+005	 +0.4425392712024341E+000	 +0.0000000000000000E+000	
     +60	 +0.2188921801203059E+004	 +0.1924517460079225E+005	 +0.4300567073764485E+000	 +0.0000000000000000E+000	
     +61	 +0.1910495791562814E+004	 +0.2072062210236361E+005	 +0.4149815865750727E+000	 +0.0000000000000000E+000	
     +62	 +0.1633180622044073E+004	 +0.2256754072201203E+005	 +0.4127126268143793E+000	 +0.0000000000000000E+000	
     +63	 +0.1521178996943324E+004	 +0.2073052827819311E+005	 +0.4145463563478817E+000	 +0.0000000000000000E+000	
     +64	 +0.1466415949499984E+004	 +0.1491866355003777E+005	 +0.4085614201455671E+000	 +0.0000000000000000E+000	
     +65	 +0.1612384338328337E+004	 +0.5030176215951905E+004	 +0.4012672723874193E+000	 +0.0000000000000000E+000	
     +66	 +0.1720438547562543E+004	 +0.2521226957628095E+004	 +0.4748095401846095E+000	 +0.0000000000000000E+000	
     +67	 +0.1889629233449016E+004	 +0.4641673292775783E+004	 +0.5294310656288010E+000	 +0.0000000000000000E+000	
     +68	 +0.1921399383084471E+004	 +0.1216968643971646E+004	 +0.5517102321501631E+000	 +0.7044307391128254E+003	
     +69	 +0.2082450645092174E+004	 +0.0000000000000000E+000	 +0.5543194555803017E+000	 +0.2082450645092174E+004	
     +70	 +0.2191879873029247E+004	 +0.0000000000000000E+000	 +0.5628931070767041E+000	 +0.2191879873029247E+004	
     +71	 +0.2316046018001269E+004	 +0.0000000000000000E+000	 +0.5635794314112604E+000	 +0.2316046018001269E+004	
     +72	 +0.2504400078382777E+004	 +0.0000000000000000E+000	 +0.5682813169884138E+000	 +0.2504400078382777E+004	
     +73	 +0.2652201898366297E+004	 +0.0000000000000000E+000	 +0.5635817361658048E+000	 +0.2652201898366297E+004	
     +74	 +0.2848986834931201E+004	 +0.0000000000000000E+000	 +0.5576561623455890E+000	 +0.2848986834931201E+004	
     +75	 +0.3043673669649340E+004	 +0.0000000000000000E+000	 +0.5378296280941736E+000	 +0.3043673669649340E+004	
     +76	 +0.3213457254533867E+004	 +0.0000000000000000E+000	 +0.5185151430455150E+000	 +0.3213457254533867E+004	
     +77	 +0.3326594367000474E+004	 +0.2088369175104996E+004	 +0.5031314183571172E+000	 +0.1238225191895478E+004	
     +78	 +0.3444813366985569E+004	 +0.1106483062415822E+004	 +0.4873931006609907E+000	 +0.2338330304569747E+004	
     +79	 +0.3535612447899202E+004	 +0.0000000000000000E+000	 +0.4766858484180685E+000	 +0.3535612447899202E+004	
     +80	 +0.3754293872285210E+004	 +0.0000000000000000E+000	 +0.4113734568367633E+000	 +0.3754293872285210E+004	
     +81	 +0.3809715037115878E+004	 +0.4503338978118279E+002	 +0.3791660486191900E+000	 +0.3764681647334695E+004	
     +82	 +0.3624065110507054E+004	 +0.1044318278886361E+005	 +0.4148477104732747E+000	 +0.0000000000000000E+000	
     +83	 +0.3306208277913465E+004	 +0.1983361366208036E+005	 +0.4143488119489896E+000	 +0.0000000000000000E+000	
     +84	 +0.3011913713782756E+004	 +0.2665576433155459E+005	 +0.4040212242841187E+000	 +0.0000000000000000E+000	
     +85	 +0.2799184094785640E+004	 +0.2971614826858353E+005	 +0.3860384106456944E+000	 +0.0000000000000000E+000	
     +86	 +0.2579319763830264E+004	 +0.3022009461778382E+005	 +0.3842813782111896E+000	 +0.0000000000000000E+000	
     +87	 +0.2493864193899749E+004	 +0.2623987406276522E+005	 +0.3881664838095077E+000	 +0.0000000000000000E+000	
     +88	 +0.2477707765623962E+004	 +0.1813965073455352E+005	 +0.3817946796127035E+000	 +0.0000000000000000E+000	
     +89	 +0.2631465770827631E+004	 +0.9057827354342347E+004	 +0.3771532100377374E+000	 +0.0000000000000000E+000	
     +90	 +0.2765776531228840E+004	 +0.0000000000000000E+000	 +0.4437694022151663E+000	 +0.2765776531228840E+004	
     +91	 +0.2919673945810612E+004	 +0.0000000000000000E+000	 +0.4740736316869253E+000	 +0.2919673945810612E+004	
     +92	 +0.2921827706127352E+004	 +0.0000000000000000E+000	 +0.4913332546381993E+000	 +0.2921827706127352E+004	
     +93	 +0.3052859967700055E+004	 +0.0000000000000000E+000	 +0.4975023792041318E+000	 +0.3052859967700055E+004	
     +94	 +0.3147726113881528E+004	 +0.0000000000000000E+000	 +0.4922038630206235E+000	 +0.3147726113881528E+004	
     +95	 +0.3237875417862239E+004	 +0.0000000000000000E+000	 +0.4898542600482890E+000	 +0.3237875417862239E+004	
     +96	 +0.3401689197415492E+004	 +0.0000000000000000E+000	 +0.4832565343956896E+000	 +0.3401689197415492E+004	
     +97	 +0.3452941889634996E+004	 +0.0000000000000000E+000	 +0.4800664419814130E+000	 +0.3452941889634996E+004	
     +98	 +0.3484441540641391E+004	 +0.8033181696633112E+003	 +0.4738485012825549E+000	 +0.2681123370978080E+004	
     +99	 +0.3499375512801969E+004	 +0.1954567130733567E+003	 +0.4682407186471306E+000	 +0.3303918799728612E+004	
    +100	 +0.3550107407614917E+004	 +0.0000000000000000E+000	 +0.4652493507716958E+000	 +0.3550107407614917E+004	
    +101	 +0.3557979754747105E+004	 +0.0000000000000000E+000	 +0.4627335676236572E+000	 +0.3557979754747105E+004	
    +102	 +0.3571234618024861E+004	 +0.0000000000000000E+000	 +0.4632826935025108E+000	 +0.3571234618024861E+004	
    +103	 +0.3571187229933653E+004	 +0.0000000000000000E+000	 +0.4663987741717129E+000	 +0.3571187229933653E+004	
    +104	 +0.3711605890295589E+004	 +0.0000000000000000E+000	 +0.4107505455455634E+000	 +0.3711605890295589E+004	
    +105	 +0.3703227445413255E+004	 +0.4500676440287785E+002	 +0.3806702398452561E+000	 +0.3658220681010378E+004	
    +106	 +0.3625787288896479E+004	 +0.1176265381960994E+004	 +0.3608772963296642E+000	 +0.2449521906935485E+004	
    +107	 +0.3460195230369647E+004	 +0.2477289160895702E+004	 +0.3607914476815076E+000	 +0.9829060694739442E+003	
    +108	 +0.3341312767166927E+004	 +0.5139175794365185E+004	 +0.3607681670613188E+000	 +0.0000000000000000E+000	
    +109	 +0.3198157487321901E+004	 +0.5268660235614416E+004	 +0.3617545616477639E+000	 +0.0000000000000000E+000	
    +110	 +0.3056916870080671E+004	 +0.5205657831128680E+004	 +0.3601673892684357E+000	 +0.0000000000000000E+000	
    +111	 +0.3085767261262597E+004	 +0.1370325571583394E+004	 +0.3531111512489386E+000	 +0.1715441689679203E+004	
    +112	 +0.3188324159429282E+004	 +0.3992802953582992E+003	 +0.3459788462217664E+000	 +0.2789043864070983E+004	
    +113	 +0.3275702301851116E+004	 +0.1426702488804607E+003	 +0.3418843372967884E+000	 +0.3133032052970656E+004	
    +114	 +0.3241496797506928E+004	 +0.0000000000000000E+000	 +0.3864150692008865E+000	 +0.3241496797506928E+004	
    +115	 +0.3294892330139323E+004	 +0.0000000000000000E+000	 +0.4092537831486457E+000	 +0.3294892330139323E+004	
    +116	 +0.3220529611442379E+004	 +0.0000000000000000E+000	 +0.4251259864420698E+000	 +0.3220529611442379E+004	
    +117	 +0.3303079081265069E+004	 +0.0000000000000000E+000	 +0.4266915071736418E+000	 +0.3303079081265069E+004	
    +118	 +0.3330496643142672E+004	 +0.0000000000000000E+000	 +0.4316260536858375E+000	 +0.3330496643142672E+004	
    +119	 +0.3376681811401782E+004	 +0.0000000000000000E+000	 +0.4304533154237544E+000	 +0.3376681811401782E+004	
