 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.2452832424563773E+004	 +0.0000000000000000E+000	 -0.5694635377104412E+000	 +0.2452832424563773E+004	
      +2	 +0.2646303110372157E+004	 +0.0000000000000000E+000	 -0.2574073648565861E+000	 +0.2646303110372157E+004	
      +3	 +0.2674609403775159E+004	 +0.0000000000000000E+000	 -0.2483192480704886E+000	 +0.2674609403775159E+004	
      +4	 +0.2529868432398705E+004	 +0.0000000000000000E+000	 -0.1863393136803764E+000	 +0.2529868432398705E+004	
      +5	 +0.2544152295010055E+004	 +0.0000000000000000E+000	 -0.1858245313317618E+000	 +0.2544152295010055E+004	
      +6	 +0.2443758602150291E+004	 +0.0000000000000000E+000	 -0.1463821190564856E+000	 +0.2443758602150291E+004	
      +7	 +0.2451689970061043E+004	 +0.0000000000000000E+000	 -0.1464037762493880E+000	 +0.2451689970061043E+004	
      +8	 +0.2506044049753095E+004	 +0.0000000000000000E+000	 -0.1759923598774003E+000	 +0.2506044049753095E+004	
      +9	 +0.2482855199284300E+004	 +0.7211733647805087E+002	 -0.2161540213002412E+000	 +0.2410737862806249E+004	
     +10	 +0.2294989530004682E+004	 +0.1357346855726194E+004	 -0.2144758113196540E+000	 +0.9376426742784886E+003	
     +11	 +0.2169388173305475E+004	 +0.6837685559453907E+004	 -0.2151681172051839E+000	 +0.0000000000000000E+000	
     +12	 +0.1815078581287312E+004	 +0.1863474606212470E+005	 -0.1992985578703856E+000	 +0.0000000000000000E+000	
     +13	 +0.1499277476905446E+004	 +0.3035692973176128E+005	 -0.2161545302908298E+000	 +0.0000000000000000E+000	
     +14	 +0.1155388034259757E+004	 +0.2494778923158554E+005	 -0.2049144629046039E+000	 +0.0000000000000000E+000	
     +15	 +0.1220518178270400E+004	 +0.3265528081671734E+004	 -0.2058163597400107E+000	 +0.0000000000000000E+000	
     +16	 +0.1225308842271101E+004	 +0.5228219023973829E+003	 -0.2002864391108881E+000	 +0.7024869398737183E+003	
     +17	 +0.1402838712412524E+004	 +0.7182908954494215E+002	 -0.1998259886384832E+000	 +0.1331009622867581E+004	
     +18	 +0.1452941459783857E+004	 +0.0000000000000000E+000	 -0.3780283065824331E-001	 +0.1452941459783857E+004	
     +19	 +0.1545165217188274E+004	 +0.0000000000000000E+000	 +0.2504455390458693E-001	 +0.1545165217188274E+004	
     +20	 +0.1483940758139507E+004	 +0.0000000000000000E+000	 +0.9194501674947148E-001	 +0.1483940758139507E+004	
     +21	 +0.1569353094731605E+004	 +0.0000000000000000E+000	 +0.1280353306041193E+000	 +0.1569353094731605E+004	
     +22	 +0.1594280458600845E+004	 +0.0000000000000000E+000	 +0.1660378743978788E+000	 +0.1594280458600845E+004	
     +23	 +0.1639974076017749E+004	 +0.0000000000000000E+000	 +0.1861171028746759E+000	 +0.1639974076017749E+004	
     +24	 +0.1730678087226397E+004	 +0.0000000000000000E+000	 +0.2098336574210217E+000	 +0.1730678087226397E+004	
     +25	 +0.1796512722301153E+004	 +0.0000000000000000E+000	 +0.2222957337980671E+000	 +0.1796512722301153E+004	
     +26	 +0.1889819312157833E+004	 +0.0000000000000000E+000	 +0.2405086257179104E+000	 +0.1889819312157833E+004	
     +27	 +0.1992609270032812E+004	 +0.0000000000000000E+000	 +0.2485522244274048E+000	 +0.1992609270032812E+004	
     +28	 +0.2072580193573215E+004	 +0.0000000000000000E+000	 +0.2645295834245595E+000	 +0.2072580193573215E+004	
     +29	 +0.2127868051220177E+004	 +0.0000000000000000E+000	 +0.2755949547266048E+000	 +0.2127868051220177E+004	
     +30	 +0.2182217575146098E+004	 +0.0000000000000000E+000	 +0.2924660515344822E+000	 +0.2182217575146098E+004	
     +31	 +0.2230887001179362E+004	 +0.0000000000000000E+000	 +0.3028891936340830E+000	 +0.2230887001179362E+004	
     +32	 +0.2346843190377011E+004	 +0.0000000000000000E+000	 +0.9943374075912421E-001	 +0.2346843190377011E+004	
     +33	 +0.2346447930228019E+004	 +0.1323331440661286E+002	 -0.6143632529375179E-001	 +0.2333214615821406E+004	
     +34	 +0.2363503282829967E+004	 +0.1182833997332578E+003	 -0.1072523124549566E+000	 +0.2245219883096709E+004	
     +35	 +0.2360045966960933E+004	 +0.2821571040840265E+004	 -0.1085925153432951E+000	 +0.0000000000000000E+000	
     +36	 +0.2150771112292806E+004	 +0.2440070348485459E+004	 -0.1259866498211570E+000	 +0.0000000000000000E+000	
     +37	 +0.2159259112204558E+004	 +0.4350262813454577E+004	 -0.1246738199806525E+000	 +0.0000000000000000E+000	
     +38	 +0.1992092161455332E+004	 +0.1767258973941252E+004	 -0.1360920196679340E+000	 +0.2248331875140800E+003	
     +39	 +0.2123524405681303E+004	 +0.2532563578151193E+004	 -0.1350150918439532E+000	 +0.0000000000000000E+000	
     +40	 +0.2061747557332592E+004	 +0.9594029239681206E+003	 -0.1422112462411902E+000	 +0.1102344633364472E+004	
     +41	 +0.2114812137841890E+004	 +0.3581068835605290E+003	 -0.1412469850696106E+000	 +0.1756705254281361E+004	
     +42	 +0.2113785627397393E+004	 +0.0000000000000000E+000	 +0.4636275589054804E-001	 +0.2113785627397393E+004	
     +43	 +0.2178384642716369E+004	 +0.0000000000000000E+000	 +0.1226386651368900E+000	 +0.2178384642716369E+004	
     +44	 +0.2125905474214359E+004	 +0.0000000000000000E+000	 +0.1755542223569073E+000	 +0.2125905474214359E+004	
     +45	 +0.2219252569339822E+004	 +0.0000000000000000E+000	 +0.2166564886040810E+000	 +0.2219252569339822E+004	
     +46	 +0.2264767674320236E+004	 +0.0000000000000000E+000	 +0.2421686732192730E+000	 +0.2264767674320236E+004	
     +47	 +0.2319123939057210E+004	 +0.0000000000000000E+000	 +0.2699107100354957E+000	 +0.2319123939057210E+004	
     +48	 +0.2432727628498315E+004	 +0.0000000000000000E+000	 +0.2861251288918552E+000	 +0.2432727628498315E+004	
     +49	 +0.2466530846469276E+004	 +0.0000000000000000E+000	 +0.3039385593709601E+000	 +0.2466530846469276E+004	
     +50	 +0.2479108362874149E+004	 +0.0000000000000000E+000	 +0.3203546640115131E+000	 +0.2479108362874149E+004	
     +51	 +0.2478989220920470E+004	 +0.0000000000000000E+000	 +0.3357155011464428E+000	 +0.2478989220920470E+004	
     +52	 +0.2483541158979434E+004	 +0.0000000000000000E+000	 +0.3539979723599300E+000	 +0.2483541158979434E+004	
     +53	 +0.2477316480363790E+004	 +0.0000000000000000E+000	 +0.3705208374758054E+000	 +0.2477316480363790E+004	
     +54	 +0.2474522445439794E+004	 +0.0000000000000000E+000	 +0.3885944298775502E+000	 +0.2474522445439794E+004	
     +55	 +0.2467569109509028E+004	 +0.0000000000000000E+000	 +0.3995715010853015E+000	 +0.2467569109509028E+004	
     +56	 +0.2542532491331497E+004	 +0.0000000000000000E+000	 +0.1851599976200436E+000	 +0.2542532491331497E+004	
     +57	 +0.2502378112496307E+004	 +0.1324960537719756E+002	 +0.3756299113029062E-001	 +0.2489128507119110E+004	
     +58	 +0.2364357288632059E+004	 +0.7032033632149096E+004	 +0.8201400551043336E-001	 +0.0000000000000000E+000	
     +59	 +0.2011321599502089E+004	 +0.1341006242995622E+005	 +0.9187544669580229E-001	 +0.0000000000000000E+000	
     +60	 +0.1677098450852823E+004	 +0.1753334922257949E+005	 +0.5695572071278841E-001	 +0.0000000000000000E+000	
     +61	 +0.1415884167923479E+004	 +0.1892673436858561E+005	 +0.2629664542863763E-001	 +0.0000000000000000E+000	
