 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.1934243641517680E+004	 +0.0000000000000000E+000	 -0.6611393749006191E+000	 +0.1934243641517680E+004	
      +2	 +0.1782044650346262E+004	 +0.0000000000000000E+000	 -0.5232940923490963E+000	 +0.1782044650346262E+004	
      +3	 +0.1803569502233016E+004	 +0.0000000000000000E+000	 -0.5424872122098344E+000	 +0.1803569502233016E+004	
      +4	 +0.1779070041418456E+004	 +0.0000000000000000E+000	 -0.4391935130327692E+000	 +0.1779070041418456E+004	
      +5	 +0.1792704888897779E+004	 +0.0000000000000000E+000	 -0.4306626719451632E+000	 +0.1792704888897779E+004	
      +6	 +0.1774603983644747E+004	 +0.0000000000000000E+000	 -0.3650329536808272E+000	 +0.1774603983644747E+004	
      +7	 +0.1782194842797833E+004	 +0.0000000000000000E+000	 -0.3485763995515846E+000	 +0.1782194842797833E+004	
      +8	 +0.1849418088597892E+004	 +0.0000000000000000E+000	 -0.4898372108249442E+000	 +0.1849418088597892E+004	
      +9	 +0.1810880087950771E+004	 +0.1063069615441648E+004	 -0.6000115179641540E+000	 +0.7478104725091230E+003	
     +10	 +0.1670789844102790E+004	 +0.2000842334781805E+005	 -0.6226592637006884E+000	 +0.0000000000000000E+000	
     +11	 +0.2138910933622990E+004	 +0.7855601085732435E+005	 -0.6280441478202718E+000	 +0.0000000000000000E+000	
     +12	 +0.1841945119055363E+004	 +0.2107090035104491E+006	 -0.6319013011232628E+000	 +0.0000000000000000E+000	
     +13	 +0.1538982318604443E+004	 +0.3413988643303695E+006	 -0.6513174869159655E+000	 +0.0000000000000000E+000	
     +14	 +0.1262334706563391E+004	 +0.2801761118565795E+006	 -0.6539692448213295E+000	 +0.0000000000000000E+000	
