 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
     +51	 +0.2380823011688317E+004	 +0.0000000000000000E+000	 -0.3954680662827526E-001	 +0.2380823011688317E+004	
     +52	 +0.2388212090860339E+004	 +0.0000000000000000E+000	 -0.2572095206127909E-001	 +0.2388212090860339E+004	
     +53	 +0.2381589248603061E+004	 +0.0000000000000000E+000	 -0.1094176729924299E-001	 +0.2381589248603061E+004	
     +54	 +0.2380847726171314E+004	 +0.0000000000000000E+000	 +0.2429656201435246E-002	 +0.2380847726171314E+004	
     +55	 +0.2373320906469603E+004	 +0.0000000000000000E+000	 +0.1071656973034231E-001	 +0.2373320906469603E+004	
     +56	 +0.2463243997035594E+004	 +0.0000000000000000E+000	 -0.1761571753152174E+000	 +0.2463243997035594E+004	
     +57	 +0.2426199733922341E+004	 +0.1848121722297527E+002	 -0.3240837897321395E+000	 +0.2407718516699366E+004	
     +58	 +0.2873390819736072E+004	 +0.2659444362089909E+005	 -0.2874675167015127E+000	 +0.0000000000000000E+000	
     +59	 +0.2504852922894676E+004	 +0.5255867309970526E+005	 -0.2624531226106371E+000	 +0.0000000000000000E+000	
     +60	 +0.2155775605144649E+004	 +0.6912762565549398E+005	 -0.2925892306569480E+000	 +0.0000000000000000E+000	
     +61	 +0.1883083994168144E+004	 +0.7487886859239935E+005	 -0.3137556001700660E+000	 +0.0000000000000000E+000	
     +62	 +0.1636271206412708E+004	 +0.8265068001970272E+005	 -0.3245094985595506E+000	 +0.0000000000000000E+000	
     +63	 +0.1534857830371531E+004	 +0.7704743121891651E+005	 -0.3183031769779842E+000	 +0.0000000000000000E+000	
     +64	 +0.1485916166111429E+004	 +0.5656274924363005E+005	 -0.3401730769580104E+000	 +0.0000000000000000E+000	
     +65	 +0.1610601950616103E+004	 +0.1935547482052573E+005	 -0.3635734862976148E+000	 +0.0000000000000000E+000	
     +66	 +0.1088464418029372E+004	 +0.1069239467981327E+004	 -0.1121997499422315E+000	 +0.1922495004804500E+002	
     +67	 +0.1251494977202135E+004	 +0.1968509922161006E+004	 -0.3398376521880521E-001	 +0.0000000000000000E+000	
     +68	 +0.1298667316512081E+004	 +0.5161101825812476E+003	 -0.6486906350190327E-002	 +0.7825571339308334E+003	
     +69	 +0.1451600715025835E+004	 +0.0000000000000000E+000	 +0.3130028842487845E-001	 +0.1451600715025835E+004	
     +70	 +0.1552121802565048E+004	 +0.0000000000000000E+000	 +0.3844914769542449E-001	 +0.1552121802565048E+004	
     +71	 +0.1670382208454153E+004	 +0.0000000000000000E+000	 +0.6005968952348908E-001	 +0.1670382208454153E+004	
     +72	 +0.1839918042906116E+004	 +0.0000000000000000E+000	 +0.6284471260160635E-001	 +0.1839918042906116E+004	
     +73	 +0.1978161077572033E+004	 +0.0000000000000000E+000	 +0.6864414125068506E-001	 +0.1978161077572033E+004	
     +74	 +0.2166700578796766E+004	 +0.0000000000000000E+000	 +0.5554046623262544E-001	 +0.2166700578796766E+004	
     +75	 +0.2351648504267755E+004	 +0.0000000000000000E+000	 +0.4536747631941443E-001	 +0.2351648504267755E+004	
     +76	 +0.2513989932225667E+004	 +0.0000000000000000E+000	 +0.2830736409042587E-001	 +0.2513989932225667E+004	
     +77	 +0.2620976227918803E+004	 +0.8856666945361339E+003	 +0.2379770933053082E-001	 +0.1735309533382670E+004	
     +78	 +0.2734660867093592E+004	 +0.4692538120807927E+003	 +0.1273515882903023E-001	 +0.2265407055012799E+004	
     +79	 +0.2820764539854487E+004	 +0.0000000000000000E+000	 +0.8832553409486929E-002	 +0.2820764539854487E+004	
