 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.2158673749892990E+004	 +0.0000000000000000E+000	 -0.7325518159581831E+000	 +0.2158673749892990E+004	
      +2	 +0.2038665881024797E+004	 +0.0000000000000000E+000	 -0.5945274304370688E+000	 +0.2038665881024797E+004	
      +3	 +0.2067829623159642E+004	 +0.0000000000000000E+000	 -0.5932665609916806E+000	 +0.2067829623159642E+004	
      +4	 +0.2022944943567144E+004	 +0.0000000000000000E+000	 -0.5645688887321941E+000	 +0.2022944943567144E+004	
      +5	 +0.2038063072310322E+004	 +0.0000000000000000E+000	 -0.5671058713364899E+000	 +0.2038063072310322E+004	
      +6	 +0.2004278514963660E+004	 +0.0000000000000000E+000	 -0.5239327288577508E+000	 +0.2004278514963660E+004	
      +7	 +0.2012630164859416E+004	 +0.0000000000000000E+000	 -0.5181938344527760E+000	 +0.2012630164859416E+004	
      +8	 +0.2110750928581362E+004	 +0.0000000000000000E+000	 -0.5825287035236997E+000	 +0.2110750928581362E+004	
      +9	 +0.2081198661197315E+004	 +0.2496023802123615E+004	 -0.6204594134733274E+000	 +0.0000000000000000E+000	
     +10	 +0.1923987156259781E+004	 +0.4697857994781625E+005	 -0.6213886104810739E+000	 +0.0000000000000000E+000	
     +11	 +0.2477478423801645E+004	 +0.1605128713119904E+006	 -0.6150342142507438E+000	 +0.0000000000000000E+000	
     +12	 +0.2142896193711659E+004	 +0.4258707813404804E+006	 -0.6050690388416042E+000	 +0.0000000000000000E+000	
     +13	 +0.1808502678227931E+004	 +0.6873879347021304E+006	 -0.6186243555690818E+000	 +0.0000000000000000E+000	
     +14	 +0.1495297220657967E+004	 +0.5635854270026116E+006	 -0.6130056620621430E+000	 +0.0000000000000000E+000	
     +15	 +0.1550835901005593E+004	 +0.7453942760702300E+005	 -0.6126778511203169E+000	 +0.0000000000000000E+000	
     +16	 +0.8728969417600445E+003	 +0.1809517621573908E+005	 -0.6121913346796203E+000	 +0.0000000000000000E+000	
     +17	 +0.1060185264659885E+004	 +0.2486047403086637E+004	 -0.6109053967139032E+000	 +0.0000000000000000E+000	
     +18	 +0.1153635668689400E+004	 +0.0000000000000000E+000	 -0.4134514059304222E+000	 +0.1153635668689400E+004	
     +19	 +0.1249326413742803E+004	 +0.0000000000000000E+000	 -0.3504180559425568E+000	 +0.1249326413742803E+004	
     +20	 +0.1210046369990386E+004	 +0.0000000000000000E+000	 -0.3027717203673451E+000	 +0.1210046369990386E+004	
     +21	 +0.1296081717471807E+004	 +0.0000000000000000E+000	 -0.2689170001692479E+000	 +0.1296081717471807E+004	
     +22	 +0.1330622192380904E+004	 +0.0000000000000000E+000	 -0.2447294628650993E+000	 +0.1330622192380904E+004	
     +23	 +0.1377810559343703E+004	 +0.0000000000000000E+000	 -0.2274466592573828E+000	 +0.1377810559343703E+004	
     +24	 +0.1475394269212172E+004	 +0.0000000000000000E+000	 -0.2140745054919154E+000	 +0.1475394269212172E+004	
     +25	 +0.1543381978200184E+004	 +0.0000000000000000E+000	 -0.2037728885867278E+000	 +0.1543381978200184E+004	
     +26	 +0.1649379187978382E+004	 +0.0000000000000000E+000	 -0.1941263237097885E+000	 +0.1649379187978382E+004	
     +27	 +0.1756329640061206E+004	 +0.0000000000000000E+000	 -0.1895943836408543E+000	 +0.1756329640061206E+004	
     +28	 +0.1847776842459700E+004	 +0.0000000000000000E+000	 -0.1815800575587091E+000	 +0.1847776842459700E+004	
     +29	 +0.1905412134540032E+004	 +0.0000000000000000E+000	 -0.1728221886722918E+000	 +0.1905412134540032E+004	
     +30	 +0.1969413770232985E+004	 +0.0000000000000000E+000	 -0.1633399504942626E+000	 +0.1969413770232985E+004	
     +31	 +0.2020629984875140E+004	 +0.0000000000000000E+000	 -0.1560888404377393E+000	 +0.2020629984875140E+004	
     +32	 +0.2148903244621964E+004	 +0.0000000000000000E+000	 -0.3614151806645878E+000	 +0.2148903244621964E+004	
     +33	 +0.2149779978136396E+004	 +0.4580128625214552E+003	 -0.5142934746862716E+000	 +0.1691767115614941E+004	
     +34	 +0.2173997201670382E+004	 +0.4093858652566556E+004	 -0.5528177296917662E+000	 +0.0000000000000000E+000	
     +35	 +0.2859016741468273E+004	 +0.7371529681085187E+005	 -0.5506772872894719E+000	 +0.0000000000000000E+000	
     +36	 +0.1950605950642841E+004	 +0.8445228237795654E+005	 -0.5643767329557583E+000	 +0.0000000000000000E+000	
     +37	 +0.2649105519398208E+004	 +0.1086652857055986E+006	 -0.5598570570958382E+000	 +0.0000000000000000E+000	
     +38	 +0.1790344810673019E+004	 +0.6116588154718682E+005	 -0.5718843267256942E+000	 +0.0000000000000000E+000	
     +39	 +0.2616898434879086E+004	 +0.6597152259382549E+005	 -0.5699272613822509E+000	 +0.0000000000000000E+000	
     +40	 +0.1864436615187113E+004	 +0.3320550438206996E+005	 -0.5776831927570566E+000	 +0.0000000000000000E+000	
     +41	 +0.1921552167312253E+004	 +0.1239429169356345E+005	 -0.5762252612684479E+000	 +0.0000000000000000E+000	
     +42	 +0.1922245301308663E+004	 +0.0000000000000000E+000	 -0.4026209504047170E+000	 +0.1922245301308663E+004	
     +43	 +0.1990858873881664E+004	 +0.0000000000000000E+000	 -0.3408726042889947E+000	 +0.1990858873881664E+004	
     +44	 +0.1939871240640214E+004	 +0.0000000000000000E+000	 -0.3053420292930485E+000	 +0.1939871240640214E+004	
     +45	 +0.2036126764536420E+004	 +0.0000000000000000E+000	 -0.2756289052319885E+000	 +0.2036126764536420E+004	
     +46	 +0.2086129587342068E+004	 +0.0000000000000000E+000	 -0.2606248717599604E+000	 +0.2086129587342068E+004	
     +47	 +0.2143804745593853E+004	 +0.0000000000000000E+000	 -0.2397900529423643E+000	 +0.2143804745593853E+004	
     +48	 +0.2271486614305090E+004	 +0.0000000000000000E+000	 -0.2337211081511941E+000	 +0.2271486614305090E+004	
     +49	 +0.2304604468589400E+004	 +0.0000000000000000E+000	 -0.2211566998740490E+000	 +0.2304604468589400E+004	
     +50	 +0.2322525199854178E+004	 +0.0000000000000000E+000	 -0.2123465515803330E+000	 +0.2322525199854178E+004	
     +51	 +0.2321904147136372E+004	 +0.0000000000000000E+000	 -0.2003877327027797E+000	 +0.2321904147136372E+004	
     +52	 +0.2330670089771460E+004	 +0.0000000000000000E+000	 -0.1880138946867262E+000	 +0.2330670089771460E+004	
     +53	 +0.2324130340229389E+004	 +0.0000000000000000E+000	 -0.1736769749415346E+000	 +0.2324130340229389E+004	
     +54	 +0.2324429770048084E+004	 +0.0000000000000000E+000	 -0.1619225979454567E+000	 +0.2324429770048084E+004	
     +55	 +0.2317100912327027E+004	 +0.0000000000000000E+000	 -0.1544389604840045E+000	 +0.2317100912327027E+004	
