 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.2151856165134291E+004	 +0.0000000000000000E+000	 -0.6067815854616742E+000	 +0.2151856165134291E+004	
      +2	 +0.2248942565926114E+004	 +0.0000000000000000E+000	 -0.3219523193257801E+000	 +0.2248942565926114E+004	
      +3	 +0.2270823500129462E+004	 +0.0000000000000000E+000	 -0.2871973166407695E+000	 +0.2270823500129462E+004	
      +4	 +0.2161716088033241E+004	 +0.0000000000000000E+000	 -0.2111389624530784E+000	 +0.2161716088033241E+004	
      +5	 +0.2174884007695170E+004	 +0.0000000000000000E+000	 -0.1899890602328713E+000	 +0.2174884007695170E+004	
      +6	 +0.2097635255869134E+004	 +0.0000000000000000E+000	 -0.1167168405556784E+000	 +0.2097635255869134E+004	
      +7	 +0.2105009140821470E+004	 +0.0000000000000000E+000	 -0.9659165889204777E-001	 +0.2105009140821470E+004	
      +8	 +0.2161961174397816E+004	 +0.0000000000000000E+000	 -0.1443409898938266E+000	 +0.2161961174397816E+004	
      +9	 +0.2137212651873600E+004	 +0.1312689480412638E+004	 -0.1971101991093865E+000	 +0.8245231714609620E+003	
     +10	 +0.1970761480474680E+004	 +0.2470661042965822E+005	 -0.2152516874048425E+000	 +0.0000000000000000E+000	
     +11	 +0.1827458101904285E+004	 +0.7411142941089552E+005	 -0.2332161804298937E+000	 +0.0000000000000000E+000	
     +12	 +0.1508573989349129E+004	 +0.1943219713016845E+006	 -0.2367666071104749E+000	 +0.0000000000000000E+000	
     +13	 +0.1219083132922633E+004	 +0.3123365325899675E+006	 -0.2682828910622951E+000	 +0.0000000000000000E+000	
     +14	 +0.9109345196934697E+003	 +0.2558167759633273E+006	 -0.2730808084295842E+000	 +0.0000000000000000E+000	
     +15	 +0.9685118351917707E+003	 +0.3400619058512856E+005	 -0.2850321245501649E+000	 +0.0000000000000000E+000	
     +16	 +0.9935728797932370E+003	 +0.9516474740507005E+004	 -0.2911956315184252E+000	 +0.0000000000000000E+000	
     +17	 +0.1158022375042672E+004	 +0.1307442770001825E+004	 -0.2989919460756971E+000	 +0.0000000000000000E+000	
     +18	 +0.1236150703665870E+004	 +0.0000000000000000E+000	 -0.6934420154820332E-001	 +0.1236150703665870E+004	
     +19	 +0.1322122305800732E+004	 +0.0000000000000000E+000	 +0.2959257478891806E-001	 +0.1322122305800732E+004	
     +20	 +0.1279296102182692E+004	 +0.0000000000000000E+000	 +0.1215637822016286E+000	 +0.1279296102182692E+004	
     +21	 +0.1359733709170950E+004	 +0.0000000000000000E+000	 +0.1938053019401271E+000	 +0.1359733709170950E+004	
     +22	 +0.1383699304616709E+004	 +0.0000000000000000E+000	 +0.2605062573513219E+000	 +0.1383699304616709E+004	
     +23	 +0.1425831779661411E+004	 +0.0000000000000000E+000	 +0.3114854979020496E+000	 +0.1425831779661411E+004	
     +24	 +0.1502452316613159E+004	 +0.0000000000000000E+000	 +0.3634618711100909E+000	 +0.1502452316613159E+004	
     +25	 +0.1561265964385952E+004	 +0.0000000000000000E+000	 +0.3998511632196567E+000	 +0.1561265964385952E+004	
     +26	 +0.1650293923040897E+004	 +0.0000000000000000E+000	 +0.4427034482317879E+000	 +0.1650293923040897E+004	
     +27	 +0.1745375558650292E+004	 +0.0000000000000000E+000	 +0.4698756495453728E+000	 +0.1745375558650292E+004	
     +28	 +0.1821730228421121E+004	 +0.0000000000000000E+000	 +0.5071957597473138E+000	 +0.1821730228421121E+004	
     +29	 +0.1873488049894890E+004	 +0.0000000000000000E+000	 +0.5312381323285879E+000	 +0.1873488049894890E+004	
     +30	 +0.1924901907377872E+004	 +0.0000000000000000E+000	 +0.5660140166464382E+000	 +0.1924901907377872E+004	
     +31	 +0.1970371790901161E+004	 +0.0000000000000000E+000	 +0.5872103744722899E+000	 +0.1970371790901161E+004	
