 	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	Label not available                                                                                                                                                                                                                                                                                         	
Period	EenegyConsumed                          	EnergyGenerated                         	PMV                                     	CO2emissions                            	
      +1	 +0.1407812954394166E+004	 +0.0000000000000000E+000	 -0.6150744539395259E+000	 +0.1407812954394166E+004	
      +2	 +0.9815870957150586E+003	 +0.0000000000000000E+000	 -0.4578035617877169E+000	 +0.9815870957150586E+003	
      +3	 +0.1005816034611438E+004	 +0.0000000000000000E+000	 -0.4618226836550831E+000	 +0.1005816034611438E+004	
      +4	 +0.1032790015682849E+004	 +0.0000000000000000E+000	 -0.3270811236673926E+000	 +0.1032790015682849E+004	
      +5	 +0.1044964662950663E+004	 +0.0000000000000000E+000	 -0.3107508204062008E+000	 +0.1044964662950663E+004	
      +6	 +0.1056207319255373E+004	 +0.0000000000000000E+000	 -0.2259835853716587E+000	 +0.1056207319255373E+004	
      +7	 +0.1063103103948842E+004	 +0.0000000000000000E+000	 -0.2027200568637468E+000	 +0.1063103103948842E+004	
      +8	 +0.1072851294913199E+004	 +0.0000000000000000E+000	 -0.4511442704205172E+000	 +0.1072851294913199E+004	
      +9	 +0.1054106255266100E+004	 +0.3206288907125418E+002	 -0.5520293635795503E+000	 +0.1022043366194846E+004	
     +10	 +0.9593405012022843E+003	 +0.6034674013566479E+003	 -0.5657292474980912E+000	 +0.3558730998456364E+003	
     +11	 +0.1559313788592588E+004	 +0.2428089682578622E+005	 -0.5899172752479369E+000	 +0.0000000000000000E+000	
     +12	 +0.1335141359157068E+004	 +0.6940175080278225E+005	 -0.5682876065194579E+000	 +0.0000000000000000E+000	
     +13	 +0.1068646734837381E+004	 +0.1148504372756231E+006	 -0.6294440249954314E+000	 +0.0000000000000000E+000	
     +14	 +0.8391063794748652E+003	 +0.9474156852605737E+005	 -0.6315870436495248E+000	 +0.0000000000000000E+000	
     +15	 +0.8425235604837922E+003	 +0.1216379376450501E+005	 -0.6466610231374873E+000	 +0.0000000000000000E+000	
     +16	 +0.1977057597940673E+003	 +0.2324431470711213E+003	 -0.6733635087023284E+000	 +0.0000000000000000E+000	
     +17	 +0.3397069534271737E+003	 +0.3193473637680428E+002	 -0.6936714732458120E+000	 +0.3077722170503695E+003	
     +18	 +0.4689184710782511E+003	 +0.0000000000000000E+000	 -0.4041267640419502E+000	 +0.4689184710782511E+003	
     +19	 +0.5477419414632577E+003	 +0.0000000000000000E+000	 -0.2875883190819959E+000	 +0.5477419414632577E+003	
     +20	 +0.5592934993969980E+003	 +0.0000000000000000E+000	 -0.2110221694993565E+000	 +0.5592934993969980E+003	
     +21	 +0.6235535556349517E+003	 +0.0000000000000000E+000	 -0.1323860246088494E+000	 +0.6235535556349517E+003	
     +22	 +0.6559533741530065E+003	 +0.0000000000000000E+000	 -0.7864602906601317E-001	 +0.6559533741530065E+003	
     +23	 +0.6955928355037945E+003	 +0.0000000000000000E+000	 -0.2703007698859280E-001	 +0.6955928355037945E+003	
     +24	 +0.7437244218079853E+003	 +0.0000000000000000E+000	 +0.1431586274858451E-001	 +0.7437244218079853E+003	
     +25	 +0.8039775178833033E+003	 +0.0000000000000000E+000	 +0.4871665669471360E-001	 +0.8039775178833033E+003	
     +26	 +0.8909125196723172E+003	 +0.0000000000000000E+000	 +0.8258367125878395E-001	 +0.8909125196723172E+003	
     +27	 +0.9815930765085772E+003	 +0.0000000000000000E+000	 +0.1067464593328590E+000	 +0.9815930765085772E+003	
     +28	 +0.1055862612176057E+004	 +0.0000000000000000E+000	 +0.1362230174452939E+000	 +0.1055862612176057E+004	
     +29	 +0.1104643198878799E+004	 +0.0000000000000000E+000	 +0.1573412002249534E+000	 +0.1104643198878799E+004	
     +30	 +0.1155570312305614E+004	 +0.0000000000000000E+000	 +0.1848758795050841E+000	 +0.1155570312305614E+004	
     +31	 +0.1198144406429785E+004	 +0.0000000000000000E+000	 +0.2029722774757882E+000	 +0.1198144406429785E+004	
     +32	 +0.1237062632044416E+004	 +0.0000000000000000E+000	 -0.8220202957181090E-001	 +0.1237062632044416E+004	
     +33	 +0.1261180284406578E+004	 +0.5883443736289228E+001	 -0.1935135250184150E+000	 +0.1255296840670289E+004	
     +34	 +0.1263588916338566E+004	 +0.5258801448085502E+002	 -0.2619562244739813E+000	 +0.1211000901857711E+004	
     +35	 +0.1966282338438275E+004	 +0.7911149681704903E+004	 -0.3079820344575969E+000	 +0.0000000000000000E+000	
     +36	 +0.1101583972256943E+004	 +0.1084839078615706E+004	 -0.3343667850336878E+000	 +0.1674489364123724E+002	
     +37	 +0.1795013190791694E+004	 +0.1359919109566109E+005	 -0.3762342165480412E+000	 +0.0000000000000000E+000	
